WBS Number,Title,Start,End,Time,Effort,%Done,Cost,Assigned,Planned Start,Start Variance,Planned End,End Variance,Constraint Start,Constraint End,Prerequisites,NoteContents,Priority,Resources Cost,Total Task Cost
1,Planning,10/24/16,12/12/16,2mo 1d,1mo 2d 1h 49m 12s,100%,,,10/24/16,0s,12/12/16,0s,,,,,,,
1.1,Work Plan,10/24/16,11/21/16,1mo 3d 5h,1w 2d,100%,,MY,10/24/16,0s,11/21/16,0s,,11/21/16,,,0,,
1.2,Project Charter,11/1/16,11/15/16,2w 2d 3h,1d 24m,100%,,MY,11/1/16,0s,11/15/16,0s,11/1/16,11/21/16,,,0,,
1.3,Methodology Write up,11/7/16,11/16/16,1w 4d,1d 2h,100%,,MY,11/7/16,0s,11/16/16,0s,11/7/16,11/21/16,,,0,,
1.4,Confirm Interest Group leads,11/1/16,11/18/16,3w 1h,1d 2h,100%,,MY,11/1/16,0s,11/18/16,0s,11/1/16,11/21/16,,,0,,
1.5,Interest Groups Brainstorming,11/22/16,12/12/16,3w 1d 4h,2w 1d 3h 25m 12s,100%,,,11/22/16,0s,12/12/16,0s,,,1.4,Interest Groups are: inventory management; inventory processing; acquisitions; erm; patron profiles; resource discovery; systems; resource sharing; external integration; overall library (catch all). UX and Assessment throughout. ,,,
1.5.1,Inventory Management,11/22/16,12/12/16,3w 1d 3h,4d 1h 28m 48s,100%,,WW; AS; CC,11/22/16,0s,12/12/16,0s,11/22/16,,,"Print Management, Equipment, electronic files outside of ERM, including AV etc",0,,
1.5.2,Inventory Processing,11/22/16,12/12/16,3w 1d 4h,4d 1h 44m 24s,100%,,TG; AS; CC,11/22/16,0s,12/12/16,0s,11/22/16,,,"Ingest of electronic and physical materials, processing for inventory management and metadata",0,,
1.5.3,Acquisitions,11/22/16,11/29/16,1w 1d 2h,1d,100%,,LJ,11/22/16,0s,11/29/16,0s,11/22/16,,,"All Acquisitions activities including monographs, electronic resources, AV, etc.",0,,
1.5.4,Electronic Resources Management,11/22/16,11/24/16,3d 1h,3h,100%,,NE,11/22/16,0s,11/24/16,0s,11/22/16,,,"All electronic resources direct and consortial, including ebooks, databases, serials, AV etc.",0,,
